MANDANT,OBJECTCLAS,OBJECTID,CHANGENR,TABNAME,TABKEY,FNAME,CHNGIND,TEXT_CASE,UNIT_OLD,UNIT_NEW,CUKY_OLD,CUKY_NEW,VALUE_NEW,VALUE_OLD,_DATAAGING
083,VERKBELEG,1700007509,0003395140,VBAP,0831700007509000010,NETPR,U,1,,,USD,USD,2.20,2.15,
083,VERKBELEG,1700007509,0003399080,VBAK,0831700007509,CMNUP,U,1,,,,,20260523,20260517,
083,VERKBELEG,1700007509,0003400761,VBAK,0831700007509,CMNUP,U,1,,,,,20260524,20260523,
083,VERKBELEG,1700007510,0003290997,VBAP,0831700007510000010,OIC_ADESTN,U,1,,,,,USOPON102,,
083,VERKBELEG,1700007510,0003290997,VBAP,0831700007510000010,OIC_DLAND1,U,1,,,,,US,,
083,VERKBELEG,1700007510,0003290997,VBAP,0831700007510000010,OIC_DREGIO,U,1,,,,,IL,,
083,VERKBELEG,1700007510,0003291008,KONVC,000010585014ZITR,KBETR,E,1,,,USD,,,0.00,
083,VERKBELEG,1700007510,0003291008,KONVC,000010585014ZITR,KPEIN,E,1,,,,,,1,
083,VERKBELEG,1700007510,0003291008,KONVC,000010585014ZITR,WAERS,E,1,,,,,,USD,
083,VERKBELEG,1700007510,0003291008,KONVC,000010585015ZITR,KBETR,E,1,,,USD,,,0.00,
083,VERKBELEG,1700007510,0003291008,KONVC,000010585015ZITR,KPEIN,E,1,,,,,,1,
083,VERKBELEG,1700007510,0003291008,KONVC,000010585015ZITR,WAERS,E,1,,,,,,USD,
083,VERKBELEG,1700007510,0003291008,KONVC,000010585016ZITR,KBETR,E,1,,,USD,,,0.00,
083,VERKBELEG,1700007510,0003291008,KONVC,000010585016ZITR,KPEIN,E,1,,,,,,1,
083,VERKBELEG,1700007510,0003291008,KONVC,000010585016ZITR,WAERS,E,1,,,,,,USD,
083,VERKBELEG,1700007510,0003291008,KONVC,000010585017ZITR,KBETR,E,1,,,USD,,,0.00,
083,VERKBELEG,1700007510,0003291008,KONVC,000010585017ZITR,KPEIN,E,1,,,,,,1,
083,VERKBELEG,1700007510,0003291008,KONVC,000010585017ZITR,WAERS,E,1,,,,,,USD,
083,VERKBELEG,1700007510,0003291008,KONVC,000010585018ZITR,KBETR,E,1,,,USD,,,0.00,
083,VERKBELEG,1700007510,0003291008,KONVC,000010585018ZITR,KPEIN,E,1,,,,,,1,
083,VERKBELEG,1700007510,0003291008,KONVC,000010585018ZITR,WAERS,E,1,,,,,,USD,
083,VERKBELEG,1700007510,0003291008,KONVC,000010585019ZITR,KBETR,E,1,,,USD,,,0.00,
083,VERKBELEG,1700007510,0003291008,KONVC,000010585019ZITR,KPEIN,E,1,,,,,,1,
083,VERKBELEG,1700007510,0003291008,KONVC,000010585019ZITR,WAERS,E,1,,,,,,USD,
083,VERKBELEG,1700007510,0003291008,KONVC,000010585020ZITR,KBETR,E,1,,,USD,,,0.00,
083,VERKBELEG,1700007510,0003291008,KONVC,000010585020ZITR,KPEIN,E,1,,,,,,1,
083,VERKBELEG,1700007510,0003291008,KONVC,000010585020ZITR,WAERS,E,1,,,,,,USD,
083,VERKBELEG,1700007510,0003291008,VBAK,0831700007510,AMTBL,U,1,,,USD,USD,8700.00,0.00,
